Statistische Informationssystem Berlin-Brandenburg (StatIS-BBB)

"Bevölkerungsstand (1)"
"Region nach Stichtag"
"Zählen: Anzahl (Personen)"

Filter:
"Datenbasis";"Anzahl (Personen)"

"Stichtag";"31.12.2017";"31.12.2017 - Anmerkungen";
"Region";
"Berlin";3613495;;
"Brandenburg";2504040;;


Symbol;Beschreibung
"1";"Quelle: Amt für Statistik Berlin-Brandenburg Die Daten entstammen der Bevölkerungsstatistik für Berlin und Brandenburg. Der hier wiedergegebene Bevölkerungsstand ist Ergebnis der Bevölkerungsfortschreibung. Bis zum Berichtsjahr 2010 beruht diese für den Teil des Landes Berlin, der vor dem 3. Oktober 1990 als Berlin - West bezeichnet wurde, auf der Grundlage der Volkszählung 1987. Den Angaben des ehemaligen Berlin - Ost und des Landes Brandenburg liegen ebenfalls bis zum Berichtsjahr 2010 die Bevölkerungsstände des damaligen Zentralen Einwohnerregisters der DDR zum Stichtag 3. Oktober 1990 zugrunde. Mit dem Zensus 2011 wurden die Daten durch eine aktuelle Basis zum Stichtag 9. Mai 2011 neu justiert. Seitdem werden die Bevölkerungszahlen auf dieser Grundlage fortgeschrieben. Ab dem Berichtsjahr 2014 können für Berlin aus rechtlichen Gründen keine Bezirksergebnisse mehr ermittelt werden. Die Ergebnisse sind nach dem Gebietsstand des jüngsten verfügbaren Stichtages ausgewiesen. Diese Seite steht unter einer Creative Commons Namensnennung 3.0 Deutschland Lizenz. "


" Tabelle: Bevölkerungsstand der Länder Berlin und Brandenburg"

(c) Copyright Amt f�r Statistik Berlin-Brandenburg 2019
